,lat,lon,elevation,distance
139,33.681533,-111.726431,568.0,1313.2412016197084
140,33.681501,-111.726466,568.0,1318.0525458055135
141,33.681472,-111.726506,568.0,1322.9614131395738
142,33.681332,-111.726709,568.0,1347.3572624979417
143,33.68123,-111.726813,568.2,1362.2314449838539
144,33.681152,-111.72686,568.2,1371.9338793334118
145,33.680979,-111.726931,568.4,1392.261474066985
146,33.680898,-111.726975,568.6,1402.1456921557265
147,33.680858,-111.726998,568.6,1407.0764183211616
148,33.680707,-111.727119,568.6,1427.2573891523878
149,33.680645,-111.727193,568.8,1436.9740114295646
150,33.680532,-111.727351,569.0,1456.2513778746309
151,33.680462,-111.727407,569.2,1465.6020462584231
152,33.680384,-111.727458,569.0,1475.4759416531197
153,33.680248,-111.727576,568.8,1494.1281721832268
154,33.680059,-111.727697,569.0,1517.9403619312093
155,33.67998,-111.72775,569.0,1528.0009829500636
156,33.679789,-111.727889,569.0,1552.8301592588257
157,33.679597,-111.728017,569.0,1577.2448616133086
158,33.679519,-111.728062,569.0,1586.86580444989
159,33.679366,-111.728186,569.2,1607.3861868725303
160,33.679292,-111.728237,569.4,1616.8718009504607
161,33.67921,-111.728281,569.2,1626.85748074149
162,33.679031,-111.72835,568.6,1647.7603298305514
163,33.6789,-111.728405,568.6,1663.1903137590768
164,33.678857,-111.728428,568.6,1668.423953502539
165,33.678735,-111.728501,568.4,1683.5784312104727
166,33.678578,-111.728618,568.6,1704.1204814671821
167,33.678498,-111.72867,568.6,1714.234027713537
168,33.678381,-111.728764,568.2,1729.8836596233973
169,33.678269,-111.72885,567.8,1744.6628472666384
170,33.678161,-111.728943,567.6,1759.4368950723374
171,33.678012,-111.729067,567.8,1779.5901616234187
172,33.677977,-111.7291,567.6,1784.536942829681
173,33.677833,-111.729232,567.4,1804.675876929785
174,33.677691,-111.72936,567.0,1824.4141621877993
175,33.677511,-111.729521,567.0,1849.3651121932196
176,33.677472,-111.729554,567.0,1854.668940064455
177,33.677354,-111.729647,566.6,1870.3602504991122
178,33.67719,-111.729749,566.2,1890.8939909609867
179,33.677071,-111.729819,565.8,1905.626514582311
180,33.676987,-111.729851,566.0,1915.425014325891
181,33.676941,-111.729864,566.0,1920.6795314211527
182,33.676763,-111.7299,565.8,1940.7506033290572
183,33.67667,-111.729925,565.4,1951.3473265199434
184,33.676623,-111.729943,565.2,1956.832492190087
185,33.676496,-111.730002,564.8,1971.9728499601463
186,33.676413,-111.730048,564.6,1982.136326914031
187,33.676372,-111.73007,564.4,1987.129194205018
188,33.676202,-111.730122,564.2,2006.635143749345
189,33.676154,-111.730127,564.2,2011.9925163498867
190,33.67606,-111.730147,564.0,2022.6074180215435
191,33.675929,-111.7302,563.8,2037.9774097438028
192,33.675841,-111.730226,563.2,2048.05399861568
193,33.675658,-111.730258,562.4,2068.6169925545896
194,33.675613,-111.730264,562.2,2073.6514728210113
195,33.675569,-111.730271,561.8,2078.5867422632446
196,33.675435,-111.730304,561.8,2093.796558004078
197,33.675306,-111.730363,561.6,2109.1445802217036
198,33.675172,-111.730405,561.4,2124.5432325160946
199,33.67509,-111.73044,561.0,2134.2193460837825
200,33.675049,-111.730462,561.0,2139.212226145284
201,33.675012,-111.730488,561.0,2143.9782798313236
202,33.674841,-111.730647,560.6,2168.0204208932005
203,33.674772,-111.730715,560.4,2177.9432022658757
204,33.674734,-111.73074,560.4,2182.7604543319626
205,33.674649,-111.730774,560.2,2192.7219279158476
206,33.674606,-111.730779,560.2,2197.525643878588
207,33.674562,-111.730776,560.2,2202.4260902292917
208,33.67447,-111.730766,560.0,2212.6977909553866
209,33.674327,-111.730757,559.8,2228.6204608543558
210,33.674141,-111.730771,559.8,2249.343252454362
211,33.674004,-111.730781,559.8,2264.6050373194425
212,33.673822,-111.730803,559.2,2284.944654394008
213,33.673735,-111.730828,558.8,2294.891385065304
214,33.673694,-111.730839,558.6,2299.5626323802585
215,33.673652,-111.730847,558.8,2304.2911299454686
216,33.673521,-111.730861,559.0,2318.91516294614
217,33.67348,-111.730876,559.0,2323.680782597999
218,33.673274,-111.730954,559.4,2347.69725116996
219,33.673148,-111.731007,559.4,2362.541443998906
220,33.672945,-111.731094,559.8,2386.506766419301
221,33.672903,-111.731102,559.8,2391.235264994152
222,33.672777,-111.731104,559.8,2405.2470481121213
223,33.672694,-111.731075,559.8,2414.8584754894814
224,33.672657,-111.731053,559.6,2419.448836763963
225,33.672623,-111.731025,559.8,2424.0321582978304
226,33.672494,-111.73088,560.2,2443.6739548087903
227,33.67244,-111.730795,560.2,2453.5696627374464
228,33.672394,-111.730701,560.0,2463.6607149640668
229,33.672345,-111.730611,559.4,2473.6131297363563
230,33.67223,-111.730437,559.0,2494.17487487233
231,33.672141,-111.730307,559.0,2509.752438896893
232,33.672055,-111.73018,558.8,2524.903909832344
233,33.671956,-111.730016,558.6,2543.6524278993315
234,33.671924,-111.729981,558.8,2548.4640148919602
235,33.671815,-111.729818,559.4,2567.814084000243
236,33.671673,-111.729616,558.8,2592.2832883992864
237,33.671648,-111.729578,558.8,2596.765865744614
238,33.67162,-111.729541,558.8,2601.393733999089
239,33.671478,-111.729395,558.6,2622.174877014688
240,33.671448,-111.729358,558.4,2626.95519830435
241,33.671419,-111.729317,558.6,2631.9345391578004
242,33.671308,-111.729152,558.4,2651.568334129128
243,33.671275,-111.729112,558.4,2656.7804907951295
244,33.671202,-111.729033,558.0,2667.7045584406696
245,33.671166,-111.728994,557.6,2673.0943167108144
246,33.671073,-111.728867,556.6,2688.7487955692186
247,33.671016,-111.728784,556.2,2698.707058269239
248,33.670953,-111.728703,556.2,2708.966711691858
249,33.67088,-111.728631,556.2,2719.468320703758
250,33.670801,-111.728579,556.4,2729.4844096117904
251,33.670723,-111.72853,556.2,2739.2714450413555
252,33.670663,-111.728456,556.2,2748.8321323921286
